이름,ticker,비율,타율,방치
케이알엠 KOSDAQ,a093640,1.16,0.24,0.92
비씨엔씨 KOSDAQ,a146320,1.20,0.39,0.89
에이비온 KOSDAQ,a203400,3.46,0.32,0.28
웹케시 KOSDAQ,a053580,2.08,0.26,0.50
하이딥 KOSDAQ,a365590,0.79,0.14,1.39
나이스정보통신 KOSDAQ,a036800,0.90,0.27,1.03
엘티씨 KOSDAQ,a170920,0.28,0.41,3.89
범한퓨얼셀 KOSDAQ,a382900,0.84,0.42,1.21
undefined,a464080,1.00,NaN,1.00
백광산업 KOSPI,a001340,0.72,0.67,1.40
아가방컴퍼니 KOSDAQ,a013990,0.66,0.35,1.48
대봉엘에스 KOSDAQ,a078140,0.85,0.39,1.18
에이유브랜즈 KOSDAQ,a481070,1.00,NaN,1.00
폴라리스AI KOSDAQ,a039980,0.11,0.41,9.26
아모그린텍 KOSDAQ,a125210,1.38,0.34,0.73
화승엔터프라이즈 KOSPI,a241590,2.42,0.32,0.40
아세아 KOSPI,a002030,0.57,0.37,1.77
undefined,a003070,1.35,NaN,0.74
이지홀딩스 KOSDAQ,a035810,0.59,0.41,1.69
티와이홀딩스 KOSPI,a363280,4.70,0.15,0.20
undefined,a474650,1.00,NaN,1.00
풀무원 KOSPI,a017810,0.97,0.33,1.00
KG모빌리언스 KOSDAQ,a046440,1.33,0.39,0.76
undefined,a355150,1.00,NaN,1.00
우리바이오 KOSDAQ,a082850,1.86,0.24,0.50
undefined,a199430,1.00,NaN,1.00
한라IMS KOSDAQ,a092460,0.24,0.35,4.11
파멥신 KOSDAQ,a208340,2.59,0.24,0.37
SGC에너지 KOSPI,a005090,0.61,0.21,1.59
동일금속 KOSDAQ,a109860,3.43,0.25,0.30
undefined,a356680,1.00,NaN,1.00
티에스아이 KOSDAQ,a277880,1.83,0.28,0.52
undefined,a452400,1.00,NaN,1.00
undefined,a489460,1.00,NaN,1.00
메카로 KOSDAQ,a241770,0.29,0.22,3.42
undefined,a047820,2.50,NaN,0.40
undefined,a336680,1.00,NaN,1.00
리파인 KOSDAQ,a377450,0.75,0.30,1.35
풍산홀딩스 KOSPI,a005810,0.46,0.43,2.26
한국파마 KOSDAQ,a032300,2.45,0.38,0.42
엠씨넥스 KOSPI,a097520,1.26,0.38,0.81
나무가 KOSDAQ,a190510,0.66,0.34,1.49
undefined,a035080,1.45,NaN,0.69
와이엠티 KOSDAQ,a251370,1.00,0.29,0.97
롯데이노베이트 KOSPI,a286940,1.01,0.46,1.01
undefined,a461300,1.00,NaN,1.00
신성이엔지 KOSPI,a011930,0.08,0.45,12.87
DB KOSPI,a012030,0.38,0.50,2.75
undefined,a046970,0.14,NaN,7.24
씨티씨바이오 KOSDAQ,a060590,1.92,0.31,0.50
뉴파워프라즈마 KOSDAQ,a144960,0.44,0.36,2.53
유니슨 KOSDAQ,a018000,1.55,0.28,0.60
undefined,a475560,1.00,NaN,1.00
undefined,a488280,1.00,NaN,1.00
마이크로디지탈 KOSDAQ,a305090,1.15,0.23,0.89
undefined,a408900,1.00,NaN,1.00
대상홀딩스 KOSPI,a084690,0.80,0.38,1.35
퍼시스 KOSPI,a016800,0.92,0.34,1.06
바이오솔루션 KOSDAQ,a086820,1.39,0.19,0.69
에이팩트 KOSDAQ,a200470,0.40,0.33,2.64
세아제강 KOSPI,a306200,1.04,0.35,0.94
한국알콜 KOSDAQ,a017890,0.92,0.46,1.17
undefined,a388870,1.00,NaN,1.00
undefined,a474170,1.00,NaN,1.00
한국캐피탈 KOSDAQ,a023760,0.88,0.25,1.09
퓨런티어 KOSDAQ,a370090,1.98,0.40,0.53
동일산업 KOSPI,a004890,4.71,0.00,0.21
NICE KOSPI,a034310,1.05,0.42,0.99
싸이맥스 KOSDAQ,a160980,0.36,0.25,2.67
바이젠셀 KOSDAQ,a308080,0.58,0.32,1.70
E1 KOSPI,a017940,0.50,0.47,2.01
케이에스피 KOSDAQ,a073010,0.41,0.27,2.41
알에프세미 KOSDAQ,a096610,0.17,1.00,6.26
아티스트유나이티드 KOSDAQ,a321820,1.36,0.46,0.72
undefined,a012210,1.00,NaN,1.00
네오위즈홀딩스 KOSDAQ,a042420,1.10,0.22,0.88
undefined,a0120g0,1.00,NaN,1.00
광전자 KOSPI,a017900,0.21,0.36,5.06
한미글로벌 KOSPI,a053690,1.52,0.29,0.64
휴비츠 KOSDAQ,a065510,1.51,0.39,0.65
디엔에프 KOSDAQ,a092070,0.70,0.30,1.44
엘앤케이바이오 KOSDAQ,a156100,1.45,0.22,0.62
지앤비에스 에코 KOSDAQ,a382800,0.38,0.28,2.63
undefined,a453340,1.00,NaN,1.00
유니퀘스트 KOSPI,a077500,0.57,0.50,1.77
아이디스 KOSDAQ,a143160,1.25,0.37,0.81
undefined,a217590,1.00,NaN,1.00
undefined,a380550,1.00,NaN,1.00
LS네트웍스 KOSPI,a000680,0.73,0.28,1.34
한일홀딩스 KOSPI,a003300,0.61,0.35,1.62
LF KOSPI,a093050,0.68,0.48,1.52
유진투자증권 KOSPI,a001200,0.46,0.33,2.12
현대차증권 KOSPI,a001500,0.92,0.24,1.03
경동제약 KOSDAQ,a011040,1.35,0.30,0.71
undefined,a357120,1.00,NaN,1.00
한전산업 KOSPI,a130660,0.55,0.21,1.75
애니플러스 KOSDAQ,a310200,1.26,0.29,0.76
한국쉘석유 KOSPI,a002960,0.50,0.47,2.02
아진산업 KOSDAQ,a013310,0.77,0.38,1.28
이노와이어리스 KOSDAQ,a073490,0.65,0.24,1.55
엠에스오토텍 KOSDAQ,a123040,1.96,0.24,0.50
삼양사 KOSPI,a145990,0.84,0.47,1.20
슈프리마 KOSDAQ,a236200,0.63,0.46,1.61
딥노이드 KOSDAQ,a315640,1.03,0.30,1.01
삼화콘덴서 KOSPI,a001820,0.21,0.29,4.76
신성통상 KOSPI,a005390,0.56,0.25,1.78
에이스토리 KOSDAQ,a241840,5.59,0.25,0.17
청담글로벌 KOSDAQ,a362320,2.04,0.40,0.50
세아홀딩스 KOSPI,a058650,0.62,0.33,1.56
위메이드플레이 KOSDAQ,a123420,2.75,0.30,0.32
알서포트 KOSDAQ,a131370,2.15,0.23,0.46
큐라클 KOSDAQ,a365270,0.78,0.25,1.30
undefined,a462520,1.00,NaN,1.00
국도화학 KOSPI,a007690,1.30,0.41,0.77
피에이치에이 KOSDAQ,a043370,0.47,0.38,2.12
이수앱지스 KOSDAQ,a086890,1.66,0.26,0.58
골프존뉴딘홀딩스 KOSDAQ,a121440,1.16,0.43,0.86
undefined,a282720,1.00,NaN,1.00
남해화학 KOSPI,a025860,1.15,0.28,0.82
한국철강 KOSPI,a104700,0.64,0.37,1.53
undefined,a298690,1.14,NaN,0.88
송원산업 KOSPI,a004430,1.57,0.30,0.63
씨씨에스 KOSDAQ,a066790,0.16,0.36,6.32
네오티스 KOSDAQ,a085910,0.15,0.29,7.01
미스터블루 KOSDAQ,a207760,1.79,0.29,0.52
undefined,a240550,1.00,NaN,1.00
신대양제지 KOSPI,a016590,0.81,0.33,1.23
광무 KOSDAQ,a029480,1.92,0.14,0.50
플리토 KOSDAQ,a300080,3.67,0.30,0.30
undefined,a355390,1.00,NaN,1.00
undefined,a432320,1.00,NaN,1.00
남양유업 KOSPI,a003920,7.92,0.38,0.13
삼화전기 KOSPI,a009470,0.40,0.31,2.54
일진홀딩스 KOSPI,a015860,0.44,0.36,2.25
SGA KOSDAQ,a049470,0.46,0.33,2.95
유나이티드제약 KOSPI,a033270,1.30,0.45,0.77
undefined,a052420,0.23,NaN,4.28
아톤 KOSDAQ,a158430,0.82,0.22,1.23
에이프로 KOSDAQ,a262260,2.18,0.31,0.44
켄코아에어로스페이스 KOSDAQ,a274090,0.52,0.35,1.93
undefined,a419080,1.00,NaN,1.00
대양전기공업 KOSDAQ,a108380,0.57,0.35,1.80
KISCO홀딩스 KOSPI,a001940,0.57,0.38,1.71
undefined,a094800,1.00,NaN,1.00
다산네트웍스 KOSDAQ,a039560,1.02,0.28,0.95
대동 KOSPI,a000490,1.17,0.30,0.86
지니뮤직 KOSDAQ,a043610,2.41,0.29,0.41
아크릴 KOSDAQ,a0007c0,1.00,NaN,1.00
알루코 KOSPI,a001780,0.96,0.27,0.99
한일사료 KOSDAQ,a005860,1.85,0.29,0.53
현대퓨처넷 KOSPI,a126560,0.86,0.40,1.17
아세아시멘트 KOSPI,a183190,0.86,0.21,1.11
일승 KOSDAQ,a333430,0.84,0.38,1.16
SIMPAC KOSPI,a009160,1.10,0.42,0.92
디지털대성 KOSDAQ,a068930,0.80,0.39,1.25
LX하우시스 KOSPI,a108670,0.95,0.38,1.08
태웅로직스 KOSDAQ,a124560,2.53,0.29,0.38
코아시아 KOSDAQ,a045970,1.39,0.34,0.69
스카이라이프 KOSPI,a053210,1.82,0.44,0.55
크레버스 KOSDAQ,a096240,2.09,0.31,0.46
한국자산신탁 KOSPI,a123890,1.21,0.29,0.80
드림시큐리티 KOSDAQ,a203650,0.71,0.34,1.31
강스템바이오텍 KOSDAQ,a217730,0.85,0.29,1.16
undefined,a318020,1.00,NaN,1.00
undefined,a402490,1.00,NaN,1.00
undefined,a452280,1.00,NaN,1.00
팜스토리 KOSDAQ,a027710,1.60,0.26,0.60
오르비텍 KOSDAQ,a046120,0.55,0.29,1.77
효성화학 KOSPI,a298000,2.83,0.22,0.36
서흥 KOSPI,a008490,1.65,0.31,0.62
DB금융투자 KOSPI,a016610,0.37,0.37,2.71
레드캡투어 KOSDAQ,a038390,1.94,0.31,0.51
멀티캠퍼스 KOSDAQ,a067280,1.29,0.29,0.76
셀바스헬스케어 KOSDAQ,a208370,0.55,1.00,1.84
BGF KOSPI,a027410,0.72,0.45,1.37
신도리코 KOSPI,a029530,0.75,0.31,1.30
undefined,a061090,1.00,NaN,1.00
undefined,a432430,1.00,NaN,1.00
일성아이에스 KOSPI,a003120,1.11,0.43,0.91
이화전기 KOSDAQ,a024810,0.49,0.67,2.22
스틱인베스트먼트 KOSPI,a026890,0.73,0.35,1.39
LG헬로비전 KOSPI,a037560,1.88,0.26,0.50
대원산업 KOSDAQ,a005710,0.48,0.23,2.07
undefined,a096250,1.00,NaN,1.00
잇츠한불 KOSPI,a226320,1.38,0.27,0.74
오브젠 KOSDAQ,a417860,1.02,NaN,1.00
퍼스텍 KOSPI,a010820,0.35,0.41,3.05
마크로젠 KOSDAQ,a038290,1.52,0.33,0.63
CJ 바이오사이언스 KOSDAQ,a311690,4.39,0.28,0.23
TYM KOSPI,a002900,1.02,0.67,0.98
보광산업 KOSDAQ,a225530,2.23,0.19,0.44
undefined,a448730,1.00,NaN,1.00
콜마홀딩스 KOSPI,a024720,0.73,0.36,1.35
경남스틸 KOSDAQ,a039240,1.24,0.44,0.80
아세아제지 KOSPI,a002310,0.92,0.14,1.07
조일알미늄 KOSPI,a018470,1.81,0.33,0.54
NEW KOSDAQ,a160550,3.88,0.23,0.25
대원제약 KOSPI,a003220,1.75,0.21,0.53
대동기어 KOSDAQ,a008830,0.48,0.41,2.30
에코플라스틱 KOSDAQ,a038110,1.06,0.31,0.93
코오롱ENP KOSPI,a138490,0.63,0.27,1.54
타이거일렉 KOSDAQ,a219130,0.37,0.29,2.63
천일고속 KOSPI,a000650,0.42,0.18,3.19
KEC KOSPI,a092220,0.64,0.33,2.05
액션스퀘어 KOSDAQ,a205500,1.87,0.12,0.54
undefined,a456010,1.00,NaN,1.00
대원강업 KOSPI,a000430,0.53,0.30,1.87
셀루메드 KOSDAQ,a049180,1.76,0.24,0.59
인포바인 KOSDAQ,a115310,2.49,0.34,0.41
신테카바이오 KOSDAQ,a226330,3.29,0.23,0.28
undefined,a396470,1.00,NaN,1.00
삼진제약 KOSPI,a005500,1.17,0.32,0.83
광동제약 KOSPI,a009290,0.82,0.33,1.19
에이프로젠바이오로직스 KOSPI,a003060,1.30,0.75,0.77
대덕 KOSPI,a008060,0.28,0.29,3.59
인크로스 KOSDAQ,a216050,2.49,0.31,0.39
조광피혁 KOSPI,a004700,0.73,0.24,1.28
한일현대시멘트 KOSPI,a006390,0.97,0.39,1.01
undefined,a092790,1.00,NaN,1.00
undefined,a411080,1.00,NaN,1.00
undefined,a452260,1.00,NaN,1.00
위닉스 KOSDAQ,a044340,2.17,0.30,0.46
undefined,a234030,1.00,NaN,1.00
와이엠텍 KOSDAQ,a273640,2.04,0.37,0.50
뉴프렉스 KOSDAQ,a085670,1.08,0.26,0.93
우진 KOSPI,a105840,0.42,0.40,2.49
휴스틸 KOSPI,a005010,1.05,0.40,1.01
일양약품 KOSPI,a007570,1.96,0.29,0.51
현대바이오랜드 KOSDAQ,a052260,1.45,0.29,0.69
대한제강 KOSPI,a084010,1.25,0.24,0.77
알에스오토메이션 KOSDAQ,a140670,0.87,0.25,1.09
undefined,a093230,0.29,NaN,3.44
이연제약 KOSPI,a102460,1.80,0.34,0.54
윈스 KOSDAQ,a136540,1.14,0.42,0.87
한진 KOSPI,a002320,1.12,0.42,0.89
오로라 KOSDAQ,a039830,0.40,0.28,2.35
KBI메탈 KOSDAQ,a024840,0.27,0.32,3.96
디아이씨 KOSPI,a092200,0.48,0.45,2.23
서호전기 KOSDAQ,a065710,0.41,0.36,2.41
이원컴포텍 KOSDAQ,a088290,4.35,0.31,0.20
수산인더스트리 KOSPI,a126720,0.84,0.40,1.21
녹십자웰빙 KOSDAQ,a234690,0.65,0.23,1.52
피엔에이치테크 KOSDAQ,a239890,3.03,0.32,0.32
노루홀딩스 KOSPI,a000320,0.61,0.49,1.85
에프앤가이드 KOSDAQ,a064850,0.25,0.32,3.98
웅진씽크빅 KOSPI,a095720,1.33,0.19,0.70
나인테크 KOSDAQ,a267320,1.20,0.39,0.91
도화엔지니어링 KOSPI,a002150,1.43,0.35,0.67
키다리스튜디오 KOSPI,a020120,1.62,0.34,0.60
농심홀딩스 KOSPI,a072710,0.67,0.40,1.51
,a115390,0.96,0.25,1.05
남선알미늄 KOSPI,a008350,1.30,0.25,0.73
드림어스컴퍼니 KOSDAQ,a060570,2.82,0.28,0.34
슈피겐코리아 KOSDAQ,a192440,1.01,0.19,0.98
라파스 KOSDAQ,a214260,2.73,0.45,0.41
위니아에이드 KOSDAQ,a377460,3.23,0.25,0.31
한국토지신탁 KOSPI,a034830,1.11,0.39,0.91
아이텍 KOSDAQ,a119830,0.99,0.37,0.99
아이마켓코리아 KOSPI,a122900,1.33,0.29,0.73
포스코스틸리온 KOSPI,a058430,4.73,0.31,0.22
HL홀딩스 KOSPI,a060980,0.67,0.42,1.53
피코그램 KOSDAQ,a376180,3.26,0.33,0.31
엠투엔 KOSDAQ,a033310,3.61,0.28,0.28
undefined,a476040,1.00,NaN,1.00
한국화장품제조 KOSPI,a003350,1.94,0.35,0.49
한농화성 KOSPI,a011500,0.69,0.41,1.56
모베이스전자 KOSDAQ,a012860,0.34,0.29,2.98
엑스페릭스 KOSDAQ,a317770,0.53,0.23,1.75
아이씨디 KOSDAQ,a040910,1.63,0.32,0.60
방림 KOSPI,a003610,1.30,0.67,0.77
undefined,a086960,1.00,NaN,1.00
시지메드텍 KOSDAQ,a056090,0.98,0.25,1.05
와이솔 KOSDAQ,a122990,0.85,0.40,1.21
undefined,a0015s0,1.00,NaN,1.00
퓨처코어 KOSDAQ,a151910,1.90,0.32,0.50
아이에이 KOSDAQ,a038880,0.87,0.31,1.19
undefined,a088260,1.00,NaN,1.00
undefined,a394420,1.00,NaN,1.00
예스코홀딩스 KOSPI,a015360,2.10,0.52,0.48
일진파워 KOSDAQ,a094820,0.88,0.35,1.10
대한제당 KOSPI,a001790,0.97,0.37,1.04
리드코프 KOSDAQ,a012700,2.35,0.22,0.40
이크레더블 KOSDAQ,a092130,1.18,0.43,0.84
한솔제지 KOSPI,a213500,2.08,0.42,0.48
환인제약 KOSPI,a016580,1.63,0.30,0.60
undefined,a033340,1.00,NaN,1.00
undefined,a226590,1.00,NaN,1.00
undefined,a489500,1.00,NaN,1.00
삼아제약 KOSDAQ,a009300,0.99,0.30,0.99
케이씨 KOSPI,a029460,0.49,0.31,2.05
롯데하이마트 KOSPI,a071840,1.78,0.30,0.55
undefined,a417840,1.00,NaN,1.00
undefined,a453860,1.00,NaN,1.00
헥토이노베이션 KOSDAQ,a214180,0.76,0.39,1.31
동구바이오제약 KOSDAQ,a006620,1.29,0.30,0.76
삼일제약 KOSPI,a000520,0.91,0.28,1.10
티사이언티픽 KOSDAQ,a057680,1.59,0.24,0.86
이월드 KOSPI,a084680,1.17,0.33,0.83
제노코 KOSDAQ,a361390,0.95,0.46,1.08
지투파워 KOSDAQ,a388050,0.85,0.21,1.17
코닉오토메이션 KOSDAQ,a391710,2.45,0.27,0.40
현대코퍼레이션 KOSPI,a011760,0.58,0.36,1.76
웅진 KOSPI,a016880,0.50,0.27,1.90
유라테크 KOSDAQ,a048430,0.90,0.30,1.11
일동홀딩스 KOSPI,a000230,3.29,0.27,0.31
삼영 KOSPI,a003720,0.26,0.34,4.07
undefined,a0088m0,1.00,NaN,1.00
베뉴지 KOSDAQ,a019010,0.37,0.26,2.58
오리콤 KOSDAQ,a010470,1.26,0.42,0.80
다올투자증권 KOSPI,a030210,0.82,0.33,1.22
백산 KOSPI,a035150,0.79,0.38,1.26
엑시온그룹 KOSDAQ,a069920,4.90,0.26,0.21
케이엔제이 KOSDAQ,a272110,0.37,0.33,2.96
undefined,a451220,1.00,NaN,1.00
한솔테크닉스 KOSPI,a004710,0.40,0.35,2.53
홈캐스트 KOSDAQ,a064240,1.96,0.33,0.47
푸른저축은행 KOSDAQ,a007330,1.12,0.24,0.82
마이크로컨텍솔 KOSDAQ,a098120,0.19,0.33,6.00
undefined,a163280,1.00,NaN,1.00
제이에스코퍼레이션 KOSPI,a194370,1.31,0.52,0.81
undefined,a417310,1.00,NaN,1.00
HLB글로벌 KOSPI,a003580,4.81,0.25,0.21
유일에너테크 KOSDAQ,a340930,6.57,0.28,0.14
undefined,a445180,1.00,NaN,1.00
사조산업 KOSPI,a007160,0.93,0.37,1.06
웰바이오텍 KOSPI,a010600,2.24,0.27,0.42
피플바이오 KOSDAQ,a304840,7.75,0.24,0.12
undefined,a463480,1.00,NaN,1.00
현대약품 KOSPI,a004310,0.68,0.83,1.47
undefined,a125020,1.00,NaN,1.00
넥센 KOSPI,a005720,0.60,0.28,1.66
대성에너지 KOSPI,a117580,1.52,0.33,0.69
undefined,a036630,0.06,NaN,17.32
도이치모터스 KOSDAQ,a067990,1.40,0.41,0.72
undefined,a443250,1.00,NaN,1.00
undefined,a010580,0.77,NaN,1.30
한국전자금융 KOSDAQ,a063570,1.29,0.33,0.76
마음AI KOSDAQ,a377480,0.77,0.26,1.17
모토닉 KOSPI,a009680,0.74,0.38,1.35
디에스케이 KOSDAQ,a109740,1.07,0.20,0.86
대성산업 KOSPI,a128820,0.66,0.40,1.49
이랜시스 KOSDAQ,a264850,0.44,0.38,2.43
교촌에프앤비 KOSPI,a339770,2.38,0.23,0.39
종근당홀딩스 KOSPI,a001630,1.13,0.18,0.86
일신방직 KOSPI,a003200,1.00,0.80,1.02
브이원텍 KOSDAQ,a251630,1.17,0.31,0.80
BYC KOSPI,a001460,0.89,0.40,1.11
금호건설 KOSPI,a002990,1.48,0.30,0.67
현대비앤지스틸 KOSPI,a004560,0.79,0.49,1.32
아비코전자 KOSDAQ,a036010,0.89,0.35,1.14
에이블씨엔씨 KOSPI,a078520,0.37,0.39,2.87
undefined,a475230,1.00,NaN,1.00
M83 KOSDAQ,a476080,0.99,NaN,1.00
플래스크 KOSDAQ,a041590,2.15,0.50,0.46
이니텍 KOSDAQ,a053350,1.13,0.23,0.83
삼양패키징 KOSPI,a272550,1.65,0.26,0.60
undefined,a452200,1.00,NaN,1.00
대원미디어 KOSDAQ,a048910,2.02,0.29,0.47
라이온켐텍 KOSDAQ,a171120,2.13,0.16,0.46
제일약품 KOSPI,a271980,1.37,0.24,0.68
undefined,a459100,1.00,NaN,1.00
GS글로벌 KOSPI,a001250,0.79,0.28,1.26
삼익THK KOSPI,a004380,1.01,0.32,0.98
경동인베스트 KOSPI,a012320,1.59,0.39,0.64
윈팩 KOSDAQ,a097800,0.44,0.29,2.16
세토피아 KOSDAQ,a222810,0.33,0.29,3.11
경방 KOSPI,a000050,1.21,0.24,0.77
하이텍팜 KOSDAQ,a106190,0.41,0.30,2.31
차이커뮤니케이션 KOSDAQ,a351870,1.00,NaN,1.00
동화약품 KOSPI,a000020,1.56,0.38,0.62
액트로 KOSDAQ,a290740,0.41,0.34,2.29
undefined,a145170,1.00,NaN,1.00
심텍홀딩스 KOSDAQ,a036710,0.57,0.29,1.63
undefined,a950190,1.00,NaN,1.00
삼영무역 KOSPI,a002810,0.62,0.48,1.64
금화피에스시 KOSDAQ,a036190,0.88,0.45,1.15
노을 KOSDAQ,a376930,2.60,0.35,0.40
AJ네트웍스 KOSPI,a095570,1.22,0.33,0.78
아티스트스튜디오 KOSDAQ,a200350,4.82,0.29,0.22
세종메디칼 KOSDAQ,a258830,7.73,0.10,0.11
무림P&P KOSPI,a009580,1.96,0.39,0.49
현대에버다임 KOSDAQ,a041440,0.89,0.38,1.09
JW홀딩스 KOSPI,a096760,0.67,0.35,1.44
테이팩스 KOSPI,a055490,3.00,0.31,0.32
undefined,a377190,1.00,NaN,1.00
화승인더 KOSPI,a006060,1.33,0.43,0.75
부방 KOSDAQ,a014470,1.39,0.33,0.72
선진 KOSPI,a136490,0.74,0.27,1.29
토니모리 KOSPI,a214420,0.61,0.41,1.80
하나제약 KOSPI,a293480,1.41,0.43,0.69
그린케미칼 KOSPI,a083420,2.04,0.36,0.50
미투온 KOSDAQ,a201490,1.89,0.32,0.56
undefined,a334890,1.00,NaN,1.00
이지바이오 KOSDAQ,a353810,0.59,0.32,1.70
undefined,a383930,1.00,NaN,1.00
undefined,a460850,1.00,NaN,1.00
undefined,a475580,1.00,NaN,1.00
선진뷰티사이언스 KOSDAQ,a086710,0.57,0.32,1.66
코리아에프티 KOSDAQ,a123410,0.41,0.39,2.71
일성건설 KOSPI,a013360,1.58,0.29,0.59
undefined,a340450,1.00,NaN,1.00
undefined,a274400,1.00,NaN,1.00
카이노스메드 KOSDAQ,a284620,3.64,0.27,0.28
대한방직 KOSPI,a001070,8.25,0.11,0.12
한국석유 KOSPI,a004090,0.88,0.40,1.20
KPX홀딩스 KOSPI,a092230,0.62,0.45,1.62
레이언스 KOSDAQ,a228850,1.29,0.25,0.73
덴티스 KOSDAQ,a261200,2.22,0.31,0.41
대한약품 KOSDAQ,a023910,1.01,0.33,0.96
덕양산업 KOSPI,a024900,1.52,0.34,0.65
undefined,a012200,0.24,NaN,4.17
지니언스 KOSDAQ,a263860,0.45,0.35,2.21
한국무브넥스 KOSPI,a010100,0.58,0.29,1.81
SBI인베스트먼트 KOSDAQ,a019550,1.09,0.29,0.90
신세계 I&C KOSPI,a035510,0.91,0.31,1.37
이지케어텍 KOSDAQ,a099750,2.47,0.23,0.40
undefined,a215090,1.00,NaN,1.00
한성크린텍 KOSDAQ,a066980,1.16,0.30,0.86
엑셈 KOSDAQ,a205100,1.01,0.26,0.96
상지건설 KOSDAQ,a042940,0.70,0.40,1.42
오파스넷 KOSDAQ,a173130,0.93,0.47,1.14
서연 KOSPI,a007860,0.55,0.29,1.73
undefined,a373170,1.00,NaN,1.00
undefined,a418470,1.00,NaN,1.00
경농 KOSPI,a002100,0.96,0.47,1.02
광주신세계 KOSPI,a037710,0.92,0.28,1.08
undefined,a464280,1.00,NaN,1.00
한양증권 KOSPI,a001750,0.37,0.38,2.68
모비데이즈 KOSDAQ,a363260,3.92,0.39,0.25
NPC KOSPI,a004250,2.07,0.26,0.46
풍국주정 KOSDAQ,a023900,1.33,0.23,0.73
율호 KOSDAQ,a072770,1.81,0.18,0.53
자이에스앤디 KOSPI,a317400,1.77,0.28,0.56
오리엔트바이오 KOSPI,a002630,1.26,0.21,0.76
성신양회 KOSPI,a004980,1.07,0.36,0.94
동양이엔피 KOSDAQ,a079960,0.58,0.47,1.82
삼화페인트 KOSPI,a000390,0.86,0.35,1.18
삼영엠텍 KOSDAQ,a054540,0.43,0.46,2.51
undefined,a172670,1.00,NaN,1.00
올리패스 KOSDAQ,a244460,11.50,0.44,0.08
원익 KOSDAQ,a032940,0.40,0.34,2.42
제이씨케미칼 KOSDAQ,a137950,2.04,0.22,0.47
LK삼양 KOSDAQ,a225190,1.30,0.24,0.76
아시아나IDT KOSPI,a267850,1.10,0.31,0.93
벽산 KOSPI,a007210,1.06,0.34,0.90
일진다이아 KOSPI,a081000,1.30,0.27,0.74
케이옥션 KOSDAQ,a102370,1.84,0.33,0.56
우리산업 KOSDAQ,a215360,1.58,0.32,0.62
휴먼테크놀로지 KOSDAQ,a175140,2.04,0.30,0.51
화일약품 KOSDAQ,a061250,0.25,0.18,3.77
지아이텍 KOSDAQ,a382480,1.68,0.41,0.57
undefined,a407400,1.00,NaN,1.00
한신기계 KOSPI,a011700,2.13,0.29,0.47
undefined,a138360,1.00,NaN,1.00
KIB플러그에너지 KOSPI,a015590,0.13,0.10,7.51
스코넥 KOSDAQ,a276040,22.00,0.26,0.04
키이스트 KOSDAQ,a054780,3.06,0.22,0.31
undefined,a460470,1.00,NaN,1.00
동양 KOSPI,a001520,1.54,0.24,0.61
인스코비 KOSPI,a006490,3.96,0.14,0.23
아이엘사이언스 KOSDAQ,a307180,0.30,0.21,3.12
미원홀딩스 KOSPI,a107590,1.96,0.10,0.48
undefined,a435570,1.00,NaN,1.00
삼성출판사 KOSPI,a068290,3.73,0.33,0.26
제룡산업 KOSDAQ,a147830,0.33,0.31,3.06
LB루셈 KOSDAQ,a376190,1.76,0.24,0.55
undefined,a487570,1.00,NaN,1.00
undefined,a0030r0,1.00,NaN,1.00
희림 KOSDAQ,a037440,1.34,0.28,0.70
아주스틸 KOSPI,a139990,3.06,0.33,0.32
테고사이언스 KOSDAQ,a191420,1.54,0.24,0.63
AK홀딩스 KOSPI,a006840,1.49,0.35,0.65
퀀타피아 KOSDAQ,a078940,0.29,0.22,3.37
undefined,a105760,1.00,NaN,1.00
에스퓨얼셀 KOSDAQ,a288620,1.92,0.24,0.49
undefined,a418620,1.00,NaN,1.00
동양철관 KOSPI,a008970,0.67,0.47,1.43
빅텍 KOSDAQ,a065450,1.63,0.24,0.59
남화산업 KOSDAQ,a111710,1.86,0.19,0.49
에이플러스에셋 KOSPI,a244920,0.51,0.32,1.87
만호제강 KOSPI,a001080,6.06,1.00,0.17
삼보판지 KOSDAQ,a023600,1.08,0.27,0.90
나노엔텍 KOSDAQ,a039860,1.05,0.23,0.97
대한제분 KOSPI,a001130,10.78,0.38,0.09
undefined,a011690,0.56,NaN,1.80
에스텍 KOSDAQ,a069510,0.58,0.24,1.69
휴맥스 KOSDAQ,a115160,0.46,0.35,2.04
,a164060,0.69,0.38,1.44
피씨엘 KOSDAQ,a241820,10.10,0.43,0.10
대교 KOSPI,a019680,1.83,0.30,0.52
수젠텍 KOSDAQ,a253840,1.95,0.52,0.55
모비스 KOSDAQ,a250060,0.54,0.32,2.15
엠플러스 KOSDAQ,a259630,0.94,0.50,1.09
하이트진로홀딩스 KOSPI,a000140,1.17,0.38,0.83
KPX케미칼 KOSPI,a025000,0.94,0.42,1.05
SJG세종 KOSPI,a033530,0.63,0.45,1.65
하이로닉 KOSDAQ,a149980,0.87,0.27,1.10
한국제지 KOSPI,a027970,1.64,0.29,0.59
아로마티카 KOSDAQ,a0015n0,0.99,NaN,1.00
우림피티에스 KOSDAQ,a101170,0.54,0.33,1.98
undefined,a126730,1.00,NaN,1.00
알에프텍 KOSDAQ,a061040,0.72,0.38,1.51
undefined,a109070,1.00,NaN,1.00
대영포장 KOSPI,a014160,1.56,0.21,0.62
