이름,ticker,비율,타율,방치
파이버프로 KOSDAQ,a368770,0.16,0.47,7.18
undefined,a450950,1.00,NaN,1.00
LX인터내셔널 KOSPI,a001120,0.98,0.47,1.04
현대백화점 KOSPI,a069960,0.50,0.33,2.02
롯데칠성 KOSPI,a005300,1.22,0.33,0.83
아미코젠 KOSDAQ,a092040,5.61,0.35,0.18
글로벌텍스프리 KOSDAQ,a204620,0.56,0.46,2.00
매일유업 KOSDAQ,a267980,1.30,0.27,0.74
undefined,a432720,1.00,NaN,1.00
undefined,a950140,1.00,NaN,1.00
엠아이텍 KOSDAQ,a179290,2.41,0.32,0.41
종근당 KOSPI,a185750,0.94,0.41,1.09
HLB바이오스텝 KOSDAQ,a278650,1.67,0.26,0.57
SK케미칼 KOSPI,a285130,2.04,0.31,0.50
솔루스첨단소재 KOSPI,a336370,1.54,0.41,0.68
undefined,a443670,1.00,NaN,1.00
에이스침대 KOSDAQ,a003800,1.08,0.19,0.89
에브리봇 KOSDAQ,a270660,1.01,0.34,1.00
HDC현대산업개발 KOSPI,a294870,0.47,0.42,2.10
undefined,a950250,1.00,NaN,1.00
undefined,a017860,1.00,NaN,1.00
인텍플러스 KOSDAQ,a064290,0.31,0.28,3.10
롯데웰푸드 KOSPI,a280360,1.14,0.33,0.87
undefined,a0011t0,1.00,NaN,1.00
디아이티 KOSDAQ,a110990,0.29,0.50,3.73
한국비엔씨 KOSDAQ,a256840,1.63,0.31,0.56
원준 KOSDAQ,a382840,1.98,0.30,0.51
DN오토모티브 KOSPI,a007340,1.22,0.46,0.77
HLB이노베이션 KOSDAQ,a024850,0.07,0.35,15.94
덕산하이메탈 KOSDAQ,a077360,0.45,0.34,2.31
한울BnC KOSDAQ,a214870,2.40,0.50,0.42
undefined,a394800,1.00,NaN,1.00
undefined,a462860,1.00,NaN,1.00
undefined,a493280,1.00,NaN,1.00
세방전지 KOSPI,a004490,0.65,0.44,1.49
이녹스 KOSDAQ,a088390,1.98,0.25,0.49
덱스터 KOSDAQ,a206560,5.75,0.23,0.16
에코아이 KOSDAQ,a448280,1.00,NaN,1.00
이수화학 KOSPI,a005950,0.73,0.60,1.50
경동나비엔 KOSPI,a009450,0.48,0.28,2.03
서희건설 KOSDAQ,a035890,0.52,0.68,2.05
서울옥션 KOSDAQ,a063170,3.00,0.33,0.32
원익머트리얼즈 KOSDAQ,a104830,0.66,0.31,1.49
LS에코에너지 KOSPI,a229640,0.11,0.34,9.17
대웅 KOSPI,a003090,1.11,0.45,0.93
후성 KOSPI,a093370,0.98,0.34,0.97
인화정공 KOSDAQ,a101930,1.15,0.31,0.82
코오롱인더 KOSPI,a120110,0.60,0.47,1.74
undefined,a405100,1.00,NaN,1.00
디알텍 KOSDAQ,a214680,1.01,0.32,1.02
원익피앤이 KOSDAQ,a217820,3.26,0.30,0.31
샘씨엔에스 KOSDAQ,a252990,0.33,0.34,3.12
undefined,a395400,1.00,NaN,1.00
undefined,a452450,1.00,NaN,1.00
동원시스템즈 KOSPI,a014820,2.04,0.37,0.49
텔레칩스 KOSDAQ,a054450,0.94,0.38,1.16
DL KOSPI,a000210,1.15,0.39,0.93
한국카본 KOSPI,a017960,0.34,0.38,3.05
케이티알파 KOSDAQ,a036030,1.09,0.23,0.91
다우기술 KOSPI,a023590,0.45,0.32,2.19
재영솔루텍 KOSDAQ,a049630,0.06,0.50,18.55
코세스 KOSDAQ,a089890,0.18,0.31,5.28
undefined,a484870,1.00,NaN,1.00
한샘 KOSPI,a009240,1.29,0.42,0.79
아이에스동서 KOSPI,a010780,1.07,0.35,0.97
폴라리스오피스 KOSDAQ,a041020,0.31,0.40,3.67
STX엔진 KOSPI,a077970,0.31,0.31,3.37
이브이첨단소재 KOSDAQ,a131400,1.59,0.00,0.61
영풍 KOSPI,a000670,12.50,0.30,0.08
동국산업 KOSDAQ,a005160,1.75,0.42,0.60
동양생명 KOSPI,a082640,0.71,0.44,1.48
파인엠텍 KOSDAQ,a441270,0.87,0.33,1.20
undefined,a494120,1.00,NaN,1.00
신흥에스이씨 KOSDAQ,a243840,1.38,0.45,0.74
현대지에프홀딩스 KOSPI,a005440,0.37,1.00,3.20
모두투어 KOSDAQ,a080160,1.49,0.32,0.65
국전약품 KOSDAQ,a307750,2.84,0.33,0.37
나이벡 KOSDAQ,a138610,0.93,0.32,1.07
일진하이솔루스 KOSPI,a271940,2.04,0.33,0.47
F&F홀딩스 KOSPI,a007700,0.83,0.48,1.32
인바디 KOSDAQ,a041830,0.43,0.29,2.32
인터플렉스 KOSDAQ,a051370,0.94,0.37,1.05
제주항공 KOSPI,a089590,1.96,0.34,0.48
네패스아크 KOSDAQ,a330860,0.57,0.44,1.85
동국홀딩스 KOSPI,a001230,4.64,0.80,0.22
태영건설 KOSPI,a009410,2.17,0.29,0.41
에이텍 KOSDAQ,a045660,0.87,0.16,1.07
GKL KOSPI,a114090,1.25,0.26,0.75
,a138580,0.48,0.37,2.06
하이록코리아 KOSDAQ,a013030,0.56,0.40,1.85
하림 KOSDAQ,a136480,0.89,0.37,1.10
